41008068,http://searchwell.l3s.uni-hannover.de/?uid=41008068,"2017-07-25 18:56:32.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=41008068,356225,18157,0
39033631,http://searchwell.l3s.uni-hannover.de/?uid=39033631,"2017-07-25 18:19:01.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=39033631,47997,3309,0
39033631,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War,"2017-07-25 18:19:54.0",http://searchwell.l3s.uni-hannover.de/?uid=39033631,0,0,1
39033631,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War,"2017-07-25 18:19:55.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War,172538,32120,0
39033631,http://en.wikipedia.org.secure.waps.io/wiki/American_Revolutionary_War,"2017-07-25 18:21:46.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War,31409,14855,0
39033631,http://en.wikipedia.org.secure.waps.io/wiki/American_Revolutionary_War,"2017-07-25 18:22:36.0",,7383,0,1
39033631,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War espa%C3%B1ol,"2017-07-25 18:22:51.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War,847698,15347,0
39033631,http://en.wikipedia.org.secure.waps.io/wiki/American_Revolutionary_War,"2017-07-25 18:23:22.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query= American Revolutionary War espa%C3%B1ol,98611,30754,0
39033631,http://es.wikipedia.org.secure.waps.io/wiki/Guerra_de_Independencia_de_los_Estados_Unidos,"2017-07-25 18:25:18.0",http://en.wikipedia.org.secure.waps.io/,528887,38788,1
39764508,http://searchwell.l3s.uni-hannover.de/?uid=39764508,"2017-07-25 18:26:08.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=39764508,47514,21601,0
39764508,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=sintomas causas y prevencion del mal de altura,"2017-07-25 18:26:57.0",http://searchwell.l3s.uni-hannover.de/?uid=39764508,1477,1449,0
39764508,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=sintomas causas y prevencion del mal de altura,"2017-07-25 18:27:00.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=sintomas causas y prevencion del mal de altura,316067,4850,0
39764508,http://infotratamiento.com.secure.waps.io/consejos-salud/mal-de-altura/,"2017-07-25 18:27:06.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=sintomas causas y prevencion del mal de altura,359113,132731,1
39764508,http://searchwell.l3s.uni-hannover.de/?uid=39764508,"2017-07-25 18:30:55.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=39764508,1275,0,0
39764508,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=La guerra revolucionaria americana tambi%C3%A9n se conoce como %22guerra americana de la libertad,"2017-07-25 18:32:18.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=sintomas causas y prevencion del mal de altura,45735,14798,0
39001000,http://searchwell.l3s.uni-hannover.de/?uid=39001000,"2017-07-25 18:15:40.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=39001000,71065,7871,0
39001000,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=war,"2017-07-25 18:16:59.0",http://searchwell.l3s.uni-hannover.de/?uid=39001000,15612,2252,0
39378680,http://searchwell.l3s.uni-hannover.de/?uid=39378680,"2017-07-25 20:10:21.0",http://gadirajuweb.l3s.uni-hannover.de/SearchWell/ARWar/arwar_task.php?userID=39378680,7593,2786,0
39378680,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=symptoms%2C causes and prevention of altitude sickness,"2017-07-25 20:10:29.0",http://searchwell.l3s.uni-hannover.de/?uid=39378680,50090,27126,0
39378680,http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=American War ,"2017-07-25 20:11:21.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=symptoms%2C causes and prevention of altitude sickness,9032,3955,0
39378680,http://www.healthline.com.waps.io/health/altitude-sickness,"2017-07-25 20:11:23.0",http://searchwell.l3s.uni-hannover.de/en/search.jsf?query=symptoms%2C causes and prevention of altitude sickness,501745,13815,1
