userID,0,1,2,3,4,5,6,7,8
25411600,16.32,17.96,,,,,,,
25864227,16.32,28.05,,,,,,,
34192482,16.32,20.33,24.34,24.34,,,,,
35743341,16.32,16.32,,,,,,,
36181479,16.32,25.00,25.00,25.00,,,,,
36201092,16.32,16.32,16.32,,,,,,
36826029,16.32,60.00,,,,,,,
37166767,16.32,16.32,,,,,,,
37741931,16.32,16.32,16.32,16.32,,,,,
39642854,16.32,21.11,21.11,29.92,,,,,
39764508,16.32,16.32,,,,,,,
40619580,16.32,16.32,16.32,17.44,17.44,,,,
40777535,16.32,16.32,16.32,,,,,,
41414773,16.32,16.32,,,,,,,
41841934,16.32,16.32,39.10,39.10,,,,,
42082819,16.32,25.21,,,,,,,
42262643,16.32,40.00,,,,,,,
42395271,16.32,16.32,16.32,16.32,,,,,
42674062,16.32,28.77,28.77,,,,,,
43055814,16.32,16.32,25.00,25.00,,,,,
43509684,16.32,16.32,16.32,16.32,16.32,16.32,,,
43626682,16.32,16.32,16.32,16.32,16.32,,,,
43631771,16.32,28.08,28.08,28.08,28.08,,,,
43663333,16.32,16.42,16.42,16.42,16.42,16.42,16.42,16.42,19.32
