userID,0,1,2,3,4,5,6,7
6335542,13.91,15.39,,,,,,
6715485,13.91,13.91,,,,,,
11582908,13.91,23.94,24.60,24.60,,,,
13396426,13.91,44.66,,,,,,
15505671,13.91,19.66,24.11,,,,,
25864227,13.91,30.47,47.03,,,,,
26079868,13.91,19.83,19.83,28.80,,,,
28282475,13.91,24.75,,,,,,
28516930,13.91,13.91,13.91,13.91,13.91,13.91,,
33088361,13.91,15.82,,,,,,
34192482,13.91,44.50,44.50,,,,,
35185245,13.91,13.91,13.91,,,,,
35196805,13.91,18.58,,,,,,
35197064,13.91,65.91,,,,,,
35743341,13.91,35.17,39.76,,,,,
36531316,13.91,14.37,14.83,14.83,14.83,20.00,,
36543765,13.91,18.40,40.00,40.00,,,,
36736084,13.91,14.32,14.32,,,,,
37953692,13.91,24.51,51.32,51.32,,,,
38366313,13.91,28.67,,,,,,
38608278,13.91,22.71,30.98,30.98,30.98,30.98,,
39616594,13.91,22.43,22.69,22.69,,,,
39934712,13.91,45.02,,,,,,
40619580,13.91,25.78,,,,,,
40786788,13.91,13.91,60.00,,,,,
41335577,13.91,14.09,14.09,,,,,
41742907,13.91,13.91,13.91,,,,,
42179203,13.91,31.65,31.77,31.77,31.77,31.77,31.77,31.77
42262643,13.91,16.34,16.34,16.34,,,,
42768791,13.91,14.96,,,,,,
43125608,13.91,27.51,,,,,,
43310837,13.91,13.91,,,,,,
43588858,13.91,13.91,13.91,13.91,60.00,,,
43626682,13.91,15.57,15.57,27.81,,,,
43665081,13.91,13.91,13.91,,,,,
43691638,13.91,26.47,39.03,39.03,39.03,,,
