userID,0,1,2,3,4
6335542,14.09,6.0,,,
6715485,14.09,0.66,,,
11582908,14.09,30.35, 0.0,,
13396426,14.09,0.32,,,
15505671,14.09,7.36, 0.0, 0.0,
19298085,14.09,5.03,,,
25864227,14.09,34.91, 1.0,,
31511492,14.09,2.24, 24.39, 0.0, 1.15
33088361,14.09,0.32,,,
33854160,14.09,6.7,,,
35185245,14.09,9.48,,,
35902657,14.09,0.0, 0.0, 0.0, 0.0
35914895,14.09,2.81, 0.0, 1.03, 4.29
36268643,14.09,24.32,,,
37953692,14.09,11.7, 0.0, 5.73, 1.95
38366313,14.09,5.72,,,
39616594,14.09,6.84,,,
40580435,14.09,7.9,,,
40619580,14.09,5.68, 0.0,,
40786788,14.09,0.0,,,
41335577,14.09,20.91,,,
41387391,14.09,1.41,,,
42143389,14.09,3.01, 11.39, 0.0,
42262643,14.09,0.0,,,
42768791,14.09,2.43,,,
42861604,14.09,0.0,,,
43125608,14.09,4.92,,,
43310837,14.09,0.0,,,
43493488,14.09,0.45, 3.28, 0.0,
43563855,14.09,24.76, 0.0,,
43611345,14.09,9.08,,,
43626682,14.09,1.6, 0.0, 0.0,
43629409,14.09,8.72,,,
43665081,14.09,0.0, 2.57,,
43691638,14.09,16.44, 16.44, 0.0, 0.0
