userID,0,1,2,3,4
6715485,27.79,27.79,,,
21464684,27.79,34.45,,,
26079868,27.79,37.45,,,
28282475,27.79,35.58,,,
31265048,27.79,31.46,,,
35174948,27.79,37.30,37.30,,
35185245,27.79,28.67,,,
35197064,27.79,49.02,,,
36113457,27.79,36.60,,,
37125543,27.79,35.54,,,
38301725,27.79,32.30,33.96,33.96,33.96
39378680,27.79,42.95,58.11,,
39555293,27.79,30.05,41.67,,
39700030,27.79,32.77,,,
39915510,27.79,30.03,,,
40056803,27.79,31.88,31.88,,
40102852,27.79,29.99,,,
40170095,27.79,27.79,27.79,58.33,
41418973,27.79,31.53,,,
41676176,27.79,31.72,,,
41740674,27.79,36.87,,,
41841934,27.79,38.81,,,
41964443,27.79,37.26,73.40,,
42082819,27.79,42.19,,,
42083792,27.79,28.28,,,
42126087,27.79,33.15,,,
42441428,27.79,34.72,,,
42607909,27.79,30.14,30.14,,
43151235,27.79,28.41,,,
43234668,27.79,27.79,,,
43430725,27.79,27.79,,,
43476534,27.79,36.46,,,
43530879,27.79,28.77,29.75,,
43657878,27.79,47.36,,,
43691638,27.79,46.99,46.99,52.38,
43697401,27.79,31.70,,,
