userID,0,1,2,3,4
6715485,27.79,0.0,,,
21464684,27.79,6.66,,,
26079868,27.79,9.66,,,
28282475,27.79,7.79,,,
31265048,27.79,3.67,,,
35174948,27.79,9.51, 0.0,,
35185245,27.79,0.88,,,
35197064,27.79,21.23,,,
36113457,27.79,8.81,,,
37125543,27.79,7.75,,,
38301725,27.79,4.51, 1.66, 0.0, 0.0
39378680,27.79,15.16, 15.16,,
39555293,27.79,2.26, 11.62,,
39700030,27.79,4.98,,,
39915510,27.79,2.24,,,
40056803,27.79,4.09, 0.0,,
40102852,27.79,2.2,,,
40170095,27.79,0.0, 0.0, 30.54,
41418973,27.79,3.74,,,
41676176,27.79,3.93,,,
41740674,27.79,9.08,,,
41841934,27.79,11.02,,,
41964443,27.79,9.47, 36.14,,
42082819,27.79,14.4,,,
42083792,27.79,0.49,,,
42126087,27.79,5.36,,,
42441428,27.79,6.93,,,
42607909,27.79,2.35, 0.0,,
43151235,27.79,0.62,,,
43234668,27.79,0.0,,,
43430725,27.79,0.0,,,
43476534,27.79,8.67,,,
43530879,27.79,0.98, 0.98,,
43657878,27.79,19.57,,,
43691638,27.79,19.2, 0.0, 5.39,
43697401,27.79,3.91,,,
