userID,1,2,3,4
6715485,uss cole bombardımanı,,,
21464684,"a boat with explosive material rammed the uss cole, while it was entering the port aden",,,
26079868,uss cole bombing,,,
28282475,uss cole bombing,,,
31265048,the uss cole bombing,,,
35174948,the uss cole bombing,the uss cole bombing,,
35185245,the uss cole bombing,,,
35197064,the uss cole bombing,,,
36113457,cole bombing,,,
37125543,uss cole bombing,,,
38301725,uss cole bombing,uss cole bombing,uss cole bombing,uss cole bombing
39378680,the uss cole bombing,the uss cole bombing,,
39555293,uss cole bombing,ataque terrorista de 2000 que llegó a ser conocido como el uss cole bombing,,
39700030,the uss cole bombing,,,
39915510,uss cole bombing,,,
40056803,uss cole bombing attack,uss cole bombing attack,,
40102852,uss cole bombing,,,
40170095,mal de altura,mal de altura,mal de altura,
41418973,cole bombing,,,
41676176,uss cole bombing,,,
41740674,uss cole bombing,,,
41841934,uss cole bombing,,,
41964443,000 terrorist attack that came to be known as the uss cole bombing,2000 terrorist attack that came to be known as the uss cole bombing,,
42082819,uss cole bombing,,,
42083792,bombardeo del uss cole,,,
42126087,the uss cole bombing,,,
42441428,the uss cole bombing,,,
42607909,uss cole bombing,uss cole bombing,,
43151235,uss cole bombing,,,
43234668,uss code bombing,,,
43430725,uss cole,,,
43476534,the uss cole bombing,,,
43530879,uss cole bombing,uss cole bombing,,
43657878,uss cole bombing,,,
43691638,the uss cole bombing,the uss cole bombing,the uss cole bombing,
43697401,the uss cole bombing,,,
