userID,1,2,3,4
6715485,d16,,,
21464684,d1,,,
26079868,d1,,,
28282475,d1,,,
31265048,d1,,,
35174948,d1,d2,,
35185245,d1,,,
35197064,d1,,,
36113457,d1,,,
37125543,d1,,,
38301725,d1,d1,d2,d2
39378680,d1,d1,,
39555293,d1,d18,,
39700030,d1,,,
39915510,d1,,,
40056803,d1,d7,,
40102852,d1,,,
40170095,d8,d9,d10,
41418973,d1,,,
41676176,d1,,,
41740674,d1,,,
41841934,d1,,,
41964443,d1,d13,,
42082819,d1,,,
42083792,d1,,,
42126087,d12,,,
42441428,d1,,,
42607909,d1,d2,,
43151235,d1,,,
43234668,d5,,,
43430725,d1,,,
43476534,d1,,,
43530879,d1,d1,,
43657878,d1,,,
43691638,d1,d11,d13,
43697401,d1,,,
