userID,0,1,2,3,4,5,6,7,8,9,10
6335542,23.40,23.40,23.40,,,,,,,,
11582908,23.40,27.62,37.36,37.54,,,,,,,
19298085,23.40,23.40,23.40,,,,,,,,
21459945,23.40,41.11,,,,,,,,,
25864227,23.40,51.67,,,,,,,,,
31266396,23.40,28.69,28.69,,,,,,,,
31275478,23.40,47.26,,,,,,,,,
34192482,23.40,37.38,37.38,37.38,,,,,,,
34394876,23.40,43.97,43.97,,,,,,,,
35185245,23.40,30.34,34.85,,,,,,,,
35196805,23.40,43.66,,,,,,,,,
36113457,23.40,41.23,,,,,,,,,
36181479,23.40,23.40,23.40,37.39,,,,,,,
36268643,23.40,55.60,75.00,,,,,,,,
36531316,23.40,32.37,32.37,32.37,32.37,32.37,32.37,32.37,32.37,32.37,32.37
36543765,23.40,25.00,25.00,25.00,,,,,,,
37114649,23.40,37.12,,,,,,,,,
37660122,23.40,45.69,45.69,,,,,,,,
38366313,23.40,35.82,,,,,,,,,
40062468,23.40,23.40,,,,,,,,,
40619580,23.40,29.04,54.99,,,,,,,,
40667959,23.40,96.25,96.25,,,,,,,,
40861787,23.40,24.65,24.65,,,,,,,,
41335577,23.40,39.59,39.59,39.59,39.59,39.59,39.59,39.59,,,
41543048,23.40,65.32,65.32,,,,,,,,
41571219,23.40,25.73,25.73,25.73,25.73,,,,,,
41742907,23.40,23.40,,,,,,,,,
42126087,23.40,27.72,,,,,,,,,
42732325,23.40,66.98,66.98,,,,,,,,
42782471,23.40,35.95,35.95,,,,,,,,
43125608,23.40,45.35,,,,,,,,,
43310837,23.40,23.40,,,,,,,,,
43434664,23.40,26.92,,,,,,,,,
43509684,23.40,39.35,39.35,,,,,,,,
43588858,23.40,23.40,23.40,23.40,,,,,,,
43626682,23.40,30.34,30.34,,,,,,,,
43719192,23.40,24.71,,,,,,,,,
