userID,1,2,3,4
6714482,d1,d1,,
11582908,d1,,,
25411600,d1,,,
26079868,d1,d11,,
28282475,d1,,,
31265048,d3,,,
33434416,d1,,,
33792477,d1,d10,,
35783314,d1,,,
35912362,d3,,,
36113457,d1,,,
36181479,d15,d17,d18,
36201092,d3,,,
36377397,d1,d7,d8,
36481014,d1,,,
36972337,d36,,,
38775014,d1,d11,,
39033631,d1,d1,d1,
39119481,d32,d33,,
39378680,d1,d4,,
39381568,d1,d1,d6,
39616594,d1,d6,d11,
39764508,d2,,,
40102852,d1,,,
41676176,d3,d29,d31,
42082819,d3,d29,d30,
42262643,d1,,,
42607909,d4,d27,d28,
43026943,d9,,,
43125608,d35,d35,,
43392254,d1,d1,,
43476534,d3,,,
43530879,d1,d11,d12,
43694802,d1,d6,d8,d11
43703523,d1,,,
