userID,0,1,2,3,4
6714482,13.23,13.23,13.23,,
11582908,13.23,32.47,,,
25411600,13.23,34.93,,,
26079868,13.23,31.22,31.22,,
28282475,13.23,31.92,,,
31265048,13.23,13.23,,,
33434416,13.23,35.09,,,
33792477,13.23,29.74,29.74,,
35783314,13.23,38.65,,,
35912362,13.23,13.23,,,
36113457,13.23,40.69,,,
36181479,13.23,13.23,30.00,30.00,
36201092,13.23,13.23,,,
36377397,13.23,28.62,28.62,51.99,
36481014,13.23,21.35,,,
36972337,13.23,13.23,,,
38775014,13.23,31.31,31.31,,
39033631,13.23,15.57,15.57,20.41,
39119481,13.23,13.23,20.00,,
39378680,13.23,44.99,44.99,,
39381568,13.23,31.06,32.94,52.13,
39616594,13.23,34.05,54.44,54.44,
39764508,13.23,70.00,,,
40102852,13.23,21.27,,,
41676176,13.23,13.23,13.23,13.23,
42082819,13.23,13.23,13.23,41.39,
42262643,13.23,31.88,,,
42607909,13.23,13.23,13.23,13.23,
43026943,13.23,18.41,,,
43125608,13.23,13.23,13.23,,
43392254,13.23,27.57,41.91,,
43476534,13.23,13.23,,,
43530879,13.23,42.13,42.13,80.00,
43694802,13.23,14.69,45.27,49.82,49.82
43703523,13.23,14.76,,,
