userID,queryID,queryterm,query_time,click_time,rank,url,title,desc,urlid,active_time
36931574,1190,sangre de cristo' mountain range,2017-07-26 09:10:52.0,2017-07-26 09:11:04.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,0.9589166666666666
33792477,1262,sangre de cristo,2017-07-26 09:50:29.0,2017-07-26 09:50:31.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky Mountains. They are located in southern Colorado and ...,d1,0.19175
38687457,1353,sangre de cristo mountains,2017-07-26 10:42:21.0,2017-07-26 10:42:27.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,0.19671666666666668
39934712,1250,sangre de cristo mountain range,2017-07-26 09:39:44.0,2017-07-26 09:39:57.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,4.860833333333333
34427707,1254,sangre de cristo,2017-07-26 09:40:08.0,2017-07-26 09:40:10.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky Mountains. They are located in southern Colorado and ...,d1,1.5450333333333333
34427707,1257,sangre de cristo,2017-07-26 09:44:19.0,2017-07-26 09:44:22.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky Mountains. They are located in southern Colorado and ...,d1,0.01345
37114649,1226,sangre de cristo” mountain range,2017-07-26 09:30:11.0,2017-07-26 09:30:23.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,1.2808666666666666
13396426,1321,sangre de cristo' mountain range,2017-07-26 10:35:24.0,2017-07-26 10:35:26.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,0.5691333333333334
41571219,1258,sangre de cristo mountain range,2017-07-26 09:44:52.0,2017-07-26 09:47:13.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,1.4739166666666668
43691638,1225,sangre de cristo' mountain range,2017-07-26 09:29:34.0,2017-07-26 09:29:37.0,1.0,http://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains,<b>Sangre de Cristo Mountains</b> - <b>Wikipedia</b>,The <b>Sangre de Cristo Mountains</b> (Spanish for &quot;Blood of Christ&quot;) are the southernmost subrange of the Rocky <b>Mountains</b>. They are located in southern Colorado and ...,d1,2.5925666666666665
