userID,0,1,2,3,4,5,6,7,8,9
11582908,17.54,23.56,25.22,,,,,,,
13396426,17.54,20.80,,,,,,,,
19298085,17.54,20.83,22.95,,,,,,,
33792477,17.54,18.64,18.64,18.64,,,,,,
34427707,17.54,26.40,26.48,,,,,,,
34464644,17.54,30.26,31.85,31.85,,,,,,
35902657,17.54,17.54,17.54,17.54,17.54,,,,,
36531316,17.54,18.27,22.97,23.83,23.83,23.83,,,,
36736084,17.54,21.29,,,,,,,,
36931574,17.54,23.04,23.04,23.04,,,,,,
37114649,17.54,24.88,,,,,,,,
37660122,17.54,23.44,24.60,27.84,,,,,,
37741931,17.54,20.17,20.99,35.62,41.05,,,,,
37953692,17.54,24.52,24.52,37.05,,,,,,
38366313,17.54,20.45,,,,,,,,
38687457,17.54,18.67,,,,,,,,
39934712,17.54,45.40,,,,,,,,
40180342,17.54,27.58,27.58,33.41,,,,,,
40491785,17.54,17.54,17.54,40.00,,,,,,
40619580,17.54,20.98,,,,,,,,
40861787,17.54,17.54,17.54,18.24,,,,,,
41335577,17.54,27.21,27.21,27.21,27.21,28.03,37.95,37.95,37.95,37.95
41571219,17.54,25.99,28.25,,,,,,,
41616896,17.54,24.46,,,,,,,,
41618465,17.54,25.22,,,,,,,,
41914129,17.54,18.30,18.30,18.30,,,,,,
42128050,17.54,20.17,26.62,26.62,27.49,,,,,
42262643,17.54,26.74,,,,,,,,
42493826,17.54,24.08,,,,,,,,
43125608,17.54,19.17,,,,,,,,
43310837,17.54,19.77,,,,,,,,
43507316,17.54,23.35,,,,,,,,
43588858,17.54,32.18,32.18,32.47,32.47,,,,,
43687043,17.54,19.20,22.21,,,,,,,
43691638,17.54,32.40,32.40,41.42,,,,,,
