userID,0,1,2,3,4,5,6,7,8,9
11582908,17.54,6.02, 1.66,,,,,,,
13396426,17.54,3.26,,,,,,,,
19298085,17.54,3.29, 2.12,,,,,,,
33792477,17.54,1.1, 0.0, 0.0,,,,,,
34427707,17.54,8.86, 0.08,,,,,,,
34464644,17.54,12.72, 1.59, 0.0,,,,,,
35902657,17.54,0.0, 0.0, 0.0, 0.0,,,,,
36531316,17.54,0.73, 4.7, 0.86, 0.0, 0.0,,,,
36736084,17.54,3.75,,,,,,,,
36931574,17.54,5.5, 0.0, 0.0,,,,,,
37114649,17.54,7.34,,,,,,,,
37660122,17.54,5.9, 1.16, 3.24,,,,,,
37741931,17.54,2.63, 0.82, 14.63, 5.43,,,,,
37953692,17.54,6.98, 0.0, 12.53,,,,,,
38366313,17.54,2.91,,,,,,,,
38687457,17.54,1.13,,,,,,,,
39934712,17.54,27.86,,,,,,,,
40180342,17.54,10.04, 0.0, 5.83,,,,,,
40491785,17.54,0.0, 0.0, 22.46,,,,,,
40619580,17.54,3.44,,,,,,,,
40861787,17.54,0.0, 0.0, 0.7,,,,,,
41335577,17.54,9.67, 0.0, 0.0, 0.0, 0.82, 9.92, 0.0, 0.0, 0.0
41571219,17.54,8.45, 2.26,,,,,,,
41616896,17.54,6.92,,,,,,,,
41618465,17.54,7.68,,,,,,,,
41914129,17.54,0.76, 0.0, 0.0,,,,,,
42128050,17.54,2.63, 6.45, 0.0, 0.87,,,,,
42262643,17.54,9.2,,,,,,,,
42493826,17.54,6.54,,,,,,,,
43125608,17.54,1.63,,,,,,,,
43310837,17.54,2.23,,,,,,,,
43507316,17.54,5.81,,,,,,,,
43588858,17.54,14.64, 0.0, 0.29, 0.0,,,,,
43687043,17.54,1.66, 3.01,,,,,,,
43691638,17.54,14.86, 0.0, 9.02,,,,,,
